dept_code,academic_year,faculty,n_modules,mean_coursework_pct,mean_written_exam_pct,mean_practical_pct,mean_class_size,mean_scheduled_hours,mean_contact_ratio,mean_assess_diversity,mean_n_summative_items
LAW,2024/5,HASS,55.0,63.05263157894737,33.305263157894736,3.642105263157895,133.62637362637363,37.873684210526314,0.14998559269939796,1.4631578947368422,1.8842105263157896
LIB,2019/0,HASS,3.0,84.0,0.0,16.0,18.333333333333332,34.6,0.13466666666666666,1.6,2.0
LIB,2020/1,HASS,3.0,84.0,0.0,16.0,27.666666666666668,34.6,0.13466666666666666,1.6,2.0
LIB,2021/2,HASS,3.0,84.0,0.0,16.0,27.666666666666668,34.6,0.13466666666666666,1.6,2.0
LIB,2022/3,HASS,3.0,84.0,0.0,16.0,27.666666666666668,34.6,0.13466666666666666,1.6,2.0
LIB,2023/4,HASS,3.0,84.0,0.0,16.0,56.6,34.6,0.13466666666666666,1.6,3.4
LIB,2024/5,HASS,3.0,84.0,0.0,16.0,56.6,39.0,0.14933333333333335,1.6,3.4
MTH,2019/0,ESE,36.0,41.666666666666664,55.370370370370374,2.962962962962963,95.1923076923077,42.479166666666664,0.1931857638888889,1.6666666666666667,2.9166666666666665
MTH,2020/1,ESE,37.0,45.37735849056604,51.886792452830186,2.7358490566037736,101.76923076923077,39.666666666666664,0.19398874402133925,1.7924528301886793,3.0
MTH,2021/2,ESE,35.0,44.21568627450981,52.94117647058823,2.843137254901961,104.6470588235294,40.02127659574468,0.19485375275938194,1.8431372549019607,3.0425531914893615
MTH,2022/3,ESE,37.0,45.75471698113208,50.56603773584906,3.6792452830188678,102.54716981132076,39.57142857142857,0.19492774924539352,1.830188679245283,3.3877551020408165
MTH,2023/4,ESE,35.0,41.86274509803921,53.333333333333336,4.803921568627451,103.66666666666667,39.808510638297875,0.19357715701470102,1.8627450980392157,3.404255319148936
MTH,2024/5,ESE,34.0,36.276595744680854,58.51063829787234,5.212765957446808,116.8913043478261,39.61702127659574,0.1923005612700202,1.9574468085106382,3.234042553191489
NSC,2019/0,ESE,13.0,60.583333333333336,20.5,18.916666666666668,30.791666666666668,90.58333333333333,0.2916666666666667,1.9583333333333333,5.875
NSC,2020/1,ESE,14.0,59.76,22.08,18.16,37.6,87.28,0.2816070175438597,1.96,5.76
NSC,2021/2,ESE,14.0,59.76,22.08,18.16,37.6,87.28,0.2816070175438597,1.96,5.76
